Project,DIN_Ebene1,DIN_Ebene1_Beschreibung,DIN_Ebene2,DIN_Ebene2_Beschreibung,DIN_Ebene3,DIN_E3_Beschreibung,prav_Personalkosten,prav_Materialkosten,korr_Personalkosten,korr_Materialkosten,Gesamtkosten
HFX (Bode),C,C -- Fahrzeugausbau,CA,CA -- Fahrzeugausbau,CA06,CA06 -- Schrauben und Normteile,5685.359517,4412.910227,1536.002448,1716.429904,13350.7021
HFX (Bode),C,C -- Fahrzeugausbau,CA,CA -- Fahrzeugausbau,CA07,CA07 -- C-Schienen,4568.326223,4429.995201,1816.016496,1253.844259,12068.18218
HFX (Bode),C,C -- Fahrzeugausbau,CA,CA -- Fahrzeugausbau,CA08,"CA08 -- Befestigungskonsole, thermische Distanzhalter (Kunststoff)",3854.106322,4723.524528,1834.387416,1336.875762,11748.89403
HFX (Bode),C,C -- Fahrzeugausbau,CB,CB -- Fenster,CB01,"CB01 -- Fenster Fahrerstand, Front & gerundete Eckeinheiten",4666.558148,4230.743598,1526.451362,1523.886724,11947.63983
HFX (Bode),C,C -- Fahrzeugausbau,CB,CB -- Fenster,CB02,CB02 -- Seitenscheiben FGR,4194.929152,4779.490703,1645.246857,1467.731775,12087.39849
HFX (Bode),C,C -- Fahrzeugausbau,CB,CB -- Fenster,CB03,CB03 -- Seitenscheiben FST,5160.913509,4917.224457,1657.738489,1584.406714,13320.28317
HFX (Bode),C,C -- Fahrzeugausbau,CB,CB -- Fenster,CB04,CB04 -- GFK-Fensterprofile,4722.347945,4663.926521,1731.340668,1360.986069,12478.6012
HFX (Bode),C,C -- Fahrzeugausbau,CB,CB -- Fenster,CB05,CB05 -- Kratzschutzfolie Fenster FGR,5755.33184,3964.27895,1293.022624,1852.070476,12864.70389
HFX (Bode),C,C -- Fahrzeugausbau,CB,CB -- Fenster,CB06,CB06 -- Frontscheibe,5182.750354,3648.960054,1424.028587,1802.923032,12058.66203
HFX (Bode),C,C -- Fahrzeugausbau,CB,CB -- Fenster,CB07,CB07 -- Fenstergummi,5197.057417,4186.93805,1362.277235,1721.631673,12467.90438
HFX (Bode),C,C -- Fahrzeugausbau,CC,CC -- Fußboden,CC01,CC01 -- Fußbodenplatten FST (inkl. Heizung),5115.354429,4599.158032,1542.160892,1885.981607,13142.65496
HFX (Bode),C,C -- Fahrzeugausbau,CC,CC -- Fußboden,CC02,CC02 -- Fußbodenplatten FGR,4714.592025,4348.190215,1318.58077,1702.255116,12083.61812
HFX (Bode),C,C -- Fahrzeugausbau,CC,CC -- Fußboden,CC03,CC03 -- Fußbodenunterbau,4898.920042,4655.411799,1432.395751,1922.977486,12909.70508
HFX (Bode),C,C -- Fahrzeugausbau,CC,CC -- Fußboden,CC04,CC04 -- Fußbodenbelag,4797.737446,4670.961039,1565.228082,1622.381869,12656.30844
HFX (Bode),C,C -- Fahrzeugausbau,CC,CC -- Fußboden,CC05,CC05 -- Treppe / Doppelstock,5396.992211,4791.203159,1892.168831,1409.674327,13490.03853
HFX (Bode),C,C -- Fahrzeugausbau,CC,CC -- Fußboden,CC06,"CC06 -- Fußboden, Bodenprofil",6119.343407,4250.00032,1447.084178,1642.931161,13459.35907
HFX (Bode),C,C -- Fahrzeugausbau,CC,CC -- Fußboden,CC07,"CC07 -- Fußboden, Gummilager",4509.718922,4626.165056,1716.066791,1435.801981,12287.75275
HFX (Bode),C,C -- Fahrzeugausbau,CC,CC -- Fußboden,CC08,"CC08 -- Fussboden, Gussteil",4292.678242,5124.26406,1773.870446,1358.672294,12549.48504
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD01,CD01 -- Innenverkleidung FST (GFK),5421.222272,4371.142012,1695.114589,1200.337532,12687.8164
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD02,CD02 -- Fahrerstandsverkleidung Blech,5540.671338,4097.416203,1634.312958,1511.755673,12784.15617
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD03,CD03 -- Seitenwandverkleidung FGR,5733.16635,4445.27548,1359.385123,1715.150501,13252.97745
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD04,CD04 -- Seitenwandverkleidung FGR (Fenster- und Heizungsverkleidung),4706.035606,5245.113706,1314.110732,1868.918437,13134.17848
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD05,CD05 -- Seitenwand + Heizungsverkleidungen,5694.13046,4143.133602,1671.784778,1802.801802,13311.85064
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD06,CD06 -- Türsäulen-/ Türvoutenverkleidung GFK,6000.594962,4080.559497,1682.651176,1672.564345,13436.36998
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD07,CD07 -- Türsäulen-/ Türvoutenverkleidung Blech,5824.158661,4457.212296,1159.459567,1704.428767,13145.25929
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD08,CD08 -- Treppenverkleidung,4197.946724,5474.173305,1911.312448,1459.232768,13042.66524
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD09,CD09 -- Loungeverkleidung,4963.309525,4769.872074,1805.814741,1437.627537,12976.62388
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD10,CD10 -- Übergangsverkleidung,5022.760762,5394.255682,1410.0923,1902.757864,13729.86661
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD11,CD11 -- Innendecke FGR (inkl. Luftkanäle / Stoffkanal PKO),4974.798006,5020.082824,1278.732691,1771.486649,13045.10017
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD12,CD12 -- Innendecke FST,4163.197922,5672.112208,1598.122079,1307.283552,12740.71576
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD13,CD13 -- Decke Treppenbereich,3749.772637,5185.346237,1331.74084,1669.342209,11936.20192
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD14,CD14 -- Decke Maschinenraum,4670.741988,4032.157753,1806.760554,1601.854619,12111.51491
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD15,CD15 -- Maschinenraum EMU - Einbaurahmen / Gerippe,4475.937364,4141.997598,1492.764943,1544.155312,11654.85522
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD16,CD16 -- Maschinenraumverkleidung,4634.619455,4000.666105,1506.125925,1734.457368,11875.86885
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD17,CD17 -- Maschinenraum EMU Brandschutz,3854.752596,4785.195425,1870.729076,1547.081996,12057.75909
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD18,CD18 -- Stirnwandverkleidung / Portalsäulenverkleidung (Übergangsverkleidung),3631.510872,5146.747177,1456.362074,2023.570001,12258.19012
HFX (Bode),C,C -- Fahrzeugausbau,CD,CD -- Innenverkleidung,CD19,CD19 -- Apparateraum nur Verkleidung (Rückwand FST),4178.752179,6220.279921,1337.725633,1636.231323,13372.98906
HFX (Bode),C,C -- Fahrzeugausbau,CE,CE -- Trennwände,CE01,CE01 -- Glastrennwände,4165.794732,6177.567031,1322.954599,1983.98724,13650.3036
HFX (Bode),C,C -- Fahrzeugausbau,CE,CE -- Trennwände,CE02,CE02 -- Fahrerraumtrennwand inkl. Tür (Maschinenraumtrennwand),4416.218826,4306.323061,1240.105694,1780.545468,11743.19305
HFX (Bode),C,C -- Fahrzeugausbau,CE,CE -- Trennwände,CE03,CE03 -- Trennwände Apparateraum / HF,4750.118653,4455.183938,1470.523999,1817.032294,12492.85888
HFX (Bode),C,C -- Fahrzeugausbau,CF,CF -- Außenanbauten,CF01,CF01 -- Dachdeckel,3804.054798,5016.109531,1462.235153,1785.035511,12067.43499
HFX (Bode),C,C -- Fahrzeugausbau,CF,CF -- Außenanbauten,CF02,CF02 -- Dachblenden,4135.917972,4443.156059,1322.602927,1905.218302,11806.89526
HFX (Bode),C,C -- Fahrzeugausbau,CF,CF -- Außenanbauten,CF03,CF03 -- Außenklappen,4960.243578,3708.713066,1404.122766,1595.176667,11668.25608
HFX (Bode),C,C -- Fahrzeugausbau,CF,CF -- Außenanbauten,CF04,CF04 -- Frontschürzen / Frontspoiler,4658.094236,4336.655099,1362.187625,1558.584873,11915.52183
HFX (Bode),C,C -- Fahrzeugausbau,CF,CF -- Außenanbauten,CF05,CF05 -- Bahnräumer (inkl. Strebe und Konsole),4161.364816,4645.139303,1746.776698,1176.846088,11730.1269
HFX (Bode),C,C -- Fahrzeugausbau,CF,CF -- Außenanbauten,CF06,CF06 -- Übertritt Front,4066.660561,6053.110089,1612.908939,1837.3249,13570.00449
HFX (Bode),C,C -- Fahrzeugausbau,CF,CF -- Außenanbauten,CF07,CF07 -- Ballastgewicht,4723.626643,3866.37914,1836.078337,1296.138695,11722.22282
HFX (Bode),C,C -- Fahrzeugausbau,CF,CF -- Außenanbauten,CF08,CF08 -- Seitenborde,4756.320109,4868.148293,1703.503032,1442.203889,12770.17532
HFX (Bode),C,C -- Fahrzeugausbau,CF,CF -- Außenanbauten,CF09,CF09 -- Seitenschürzen,4970.715437,5127.850499,1708.256495,1192.597285,12999.41972
HFX (Bode),C,C -- Fahrzeugausbau,CG,CG -- Fahrzeuglackierung,CG01,CG01 -- Fahrzeuglackierung,5341.307977,5009.790422,1348.434727,1908.232779,13607.7659
HFX (Bode),C,C -- Fahrzeugausbau,CH,CH -- Isolierung,CH01,CH01 -- Isolierung,5016.071465,5116.471583,1691.155442,1634.750015,13458.44851
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DA,DA -- Fahrzeuginneneinrichtung,DA01,DA01 -- Fahrzeuginneneinrichtung,4665.373175,5514.826335,1716.591655,1516.552595,13413.34376
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DA,DA -- Fahrzeuginneneinrichtung,DA02,DA02 -- Dachentwässerung,4355.364214,5857.856482,1439.009797,1619.994296,13272.22479
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DB,"DB -- Haltestangen, Griffe (Innenbereich)",DB01,"DB01 -- Haltestangen, Griffe (Innenbereich) - Rohre",4743.284118,4641.835875,1496.93917,1965.687805,12847.74697
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DB,"DB -- Haltestangen, Griffe (Innenbereich)",DB02,"DB02 -- Haltestangen, Griffe (Innenbereich) - Gussteile",4461.424259,4961.553822,1598.136965,1306.186557,12327.3016
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DC,"DC -- Sitze, Liegen, Tische",DC01,DC01 -- Sitze FGR,4870.898728,3756.521969,1331.26207,1822.832746,11781.51551
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DC,"DC -- Sitze, Liegen, Tische",DC02,DC02 -- Fahrgastsitze fest (gegebenenfalls inkl. Cantilever),4722.99237,5205.608069,1799.678124,1206.428651,12934.70721
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DC,"DC -- Sitze, Liegen, Tische",DC03,DC03 -- Sitzlounge inkl. Sitzkiste,4902.002136,4491.690411,1447.280833,1888.118166,12729.09155
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DC,"DC -- Sitze, Liegen, Tische",DC04,DC04 -- Fahrersitz incl. Podest,5066.305859,5228.757553,1215.086946,1640.178959,13150.32932
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DC,"DC -- Sitze, Liegen, Tische",DC05,DC05 -- Fahrlehrersitz / Beimannsitz,4468.880073,4844.941036,1478.994621,1415.67731,12208.49304
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DC,"DC -- Sitze, Liegen, Tische",DC06,DC06 -- Tische,4390.443933,5359.123412,1951.125301,1387.11097,13087.80362
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DC,"DC -- Sitze, Liegen, Tische",DC07,DC07 -- Fahrgastklappsitze,4041.039347,5463.191773,1662.322783,1818.247962,12984.80186
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DC,"DC -- Sitze, Liegen, Tische",DC08,DC08 -- Sitzkisten,5060.656697,4514.70808,1404.068341,1800.788452,12780.22157
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DD,DD -- Sanitäreinrichtungen,DD01,DD01 -- WC-Zelle,4329.103847,5346.407839,1656.869085,1273.637319,12606.01809
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DD,DD -- Sanitäreinrichtungen,DD02,DD02 -- WC-Leitungen,5397.038293,3625.141839,1530.702966,1948.29492,12501.17802
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DD,DD -- Sanitäreinrichtungen,DD03,DD03 -- Universal-WC mit Tank,5686.96882,4081.406107,1462.364821,1608.669735,12839.40948
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DD,DD -- Sanitäreinrichtungen,DD04,DD04 -- Standard-WC mit Tank,5068.415222,4666.274617,1435.342099,1474.499152,12644.53109
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DE,DE -- Gepäckablagen,DE01,DE01 -- Gepäckablagen,4170.002315,6041.214352,1703.431082,1664.741567,13579.38932
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DE,DE -- Gepäckablagen,DE02,DE02 -- Gepäckregale,4742.309957,4344.510816,1692.690666,1364.89389,12144.40533
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DF,DF -- Zusätzliche Einrichtungen,DF01,"DF01 -- Ausrüstung Fahrgastraum (Feuerlöscher, Werkzeug,€¦)",3768.090347,5082.363137,1410.215495,1482.239716,11742.9087
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DF,DF -- Zusätzliche Einrichtungen,DF02,DF02 -- Seitenwandtisch,3705.675982,5413.147712,1627.349367,1455.138943,12201.312
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DF,DF -- Zusätzliche Einrichtungen,DF03,DF03 -- Abfallbehälter incl. Anbauteile,4575.028377,4688.901063,1664.591915,1196.411462,12124.93282
HFX (Bode),D,D -- Fahrzeuginneneinrichtung,DF,DF -- Zusätzliche Einrichtungen,DF04,DF04 -- Sonderausbauten Innenbereich,4426.512051,4903.634763,1514.576658,1580.65068,12425.37415
HFX (Bode),E,E -- Fahrwerk,EA,EA -- Fahrwerk,EA01,EA01 -- Fahrwerk,5314.30555,5089.282686,1441.062312,1881.263052,13725.9136
HFX (Bode),E,E -- Fahrwerk,EA,EA -- Fahrwerk,EA02,EA02 -- Messgeräte (SIFA - T D),5356.237648,4375.312596,1806.702492,1242.503707,12780.75644
HFX (Bode),E,E -- Fahrwerk,EA,EA -- Fahrwerk,EA03,EA03 -- Lauffahrwerk / Laufdrehgestell,5144.742437,3774.55585,1859.151753,1371.888219,12150.33826
HFX (Bode),E,E -- Fahrwerk,EA,EA -- Fahrwerk,EA04,EA04 -- Triebfahrwerk / Motordrehgestell (inkl. Fahrmotor und Getriebe),4174.56914,4577.077113,1820.700651,1530.363784,12102.71069
HFX (Bode),E,E -- Fahrwerk,EB,EB -- tragende Strukturen,EB01,EB01 -- Fahrwerk-/ Drehgestellrahmen,3998.213221,5963.505014,1364.328892,1927.512163,13253.55929
HFX (Bode),E,E -- Fahrwerk,EB,EB -- tragende Strukturen,EB02,EB02 -- Wiege / Traverse,4226.344053,6068.014677,1619.52037,1598.259161,13512.13826
HFX (Bode),E,E -- Fahrwerk,EC,EC -- Radsystem,EC01,EC01 -- Radsystem,4989.229326,4764.688109,1575.36619,1619.458226,12948.74185
HFX (Bode),E,E -- Fahrwerk,EC,EC -- Radsystem,EC02,EC02 -- Radsatzlager inkl. Gehäuse,4594.344114,4336.27476,1410.913016,1643.675762,11985.20765
HFX (Bode),E,E -- Fahrwerk,EC,EC -- Radsystem,EC03,EC03 -- Messradsatz,4923.167137,4613.529822,1872.686083,1397.18072,12806.56376
HFX (Bode),E,E -- Fahrwerk,ED,"ED -- Federung, Dämpfung, Ausgleich",ED01,ED01 -- Zusatzluftvolumen,4044.986208,5950.679653,1201.348786,1646.791207,12843.80585
HFX (Bode),E,E -- Fahrwerk,ED,"ED -- Federung, Dämpfung, Ausgleich",ED02,ED02 -- Federn,5801.149426,4122.744434,1539.035083,1615.08887,13078.01781
HFX (Bode),E,E -- Fahrwerk,ED,"ED -- Federung, Dämpfung, Ausgleich",ED03,ED03 -- Dämpfer,4823.897929,4416.4419,1817.431703,1535.217115,12592.98865
HFX (Bode),E,E -- Fahrwerk,ED,"ED -- Federung, Dämpfung, Ausgleich",ED04,ED04 -- Primärfedersystem,5212.42371,5202.300956,1445.149512,1547.149795,13407.02397
HFX (Bode),E,E -- Fahrwerk,ED,"ED -- Federung, Dämpfung, Ausgleich",ED05,ED05 -- Primärfeder (Aluminiumtöpfe),5136.135522,5043.342923,1516.926829,1944.99777,13641.40304
HFX (Bode),E,E -- Fahrwerk,ED,"ED -- Federung, Dämpfung, Ausgleich",ED06,ED06 -- Sekundärfedersystem,4403.958579,4465.444141,1206.609356,1735.153081,11811.16516
HFX (Bode),E,E -- Fahrwerk,ED,"ED -- Federung, Dämpfung, Ausgleich",ED07,ED07 -- Wankstütze,4322.685981,4958.66896,1698.445415,1229.043811,12208.84417
HFX (Bode),E,E -- Fahrwerk,EE,EE -- Lenkungssysteme (aktiv),EE01,EE01 -- Lenkungssysteme (aktiv),5224.660763,4539.121362,1679.737106,1571.4967,13015.01593
HFX (Bode),E,E -- Fahrwerk,EF,EF -- Anlenkungssysteme (passiv),EF01,EF01 -- Mitnehmerzapfen,5401.630538,3817.84843,1331.577745,1827.951694,12379.00841
HFX (Bode),E,E -- Fahrwerk,EF,EF -- Anlenkungssysteme (passiv),EF02,EF02 -- Anlenkung,4682.256483,5070.184388,1770.215619,1524.288763,13046.94525
HFX (Bode),E,E -- Fahrwerk,EF,EF -- Anlenkungssysteme (passiv),EF03,EF03 -- Mitnehmerzapfen (Sphärogussteil) ,4471.229965,5417.338977,1383.827843,1849.853823,13122.25061
HFX (Bode),E,E -- Fahrwerk,EF,EF -- Anlenkungssysteme (passiv),EF04,EF04 -- Mitnehmerzapfen (Alu-Schmiedeteil),4643.266158,4162.54026,1449.478223,1783.579268,12038.86391
HFX (Bode),E,E -- Fahrwerk,EF,EF -- Anlenkungssysteme (passiv),EF05,EF05 -- Lemniskate,4740.394291,5022.391297,1399.797816,2061.708632,13224.29204
HFX (Bode),E,E -- Fahrwerk,EG,EG -- Schutzanbauteile,EG01,EG01 -- Schutzanbauteile,6001.732595,4006.834405,1917.008143,1554.831357,13480.4065
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FA,"FA -- Energieanlage, Antriebsanlage",FA01,FA01 -- Stromrichter (mit / ohne integriertem Bordnetzumrichter),4549.786778,4660.332401,1381.186846,1859.734449,12451.04047
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FB,FB -- Energiezuführung,FB01,FB01 -- Stromabnehmer,3575.514328,5092.580142,1792.305111,1556.003376,12016.40296
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FB,FB -- Energiezuführung,FB02,FB02 -- Hauptschalter AC,5461.787746,4306.419502,2009.366266,1365.472661,13143.04618
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FB,FB -- Energiezuführung,FB03,FB03 -- Haupttransformator,5601.655446,4211.689331,1290.551538,1913.751271,13017.64759
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FB,FB -- Energiezuführung,FB04,FB04 -- Bodeneinsätze (Spritzguss),6157.433175,4144.003042,1854.136961,1309.493327,13465.0665
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FB,FB -- Energiezuführung,FB05,FB05 -- Trennschalter Antrieb,4456.124815,4480.78295,1433.055358,1587.015253,11956.97838
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FB,FB -- Energiezuführung,FB06,FB06 -- Hochspannungswandler,4065.099646,5197.004823,1570.681173,1728.321944,12561.10759
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FB,FB -- Energiezuführung,FB07,FB07 -- Überspannungsableiter,6109.710056,4125.142146,1724.016599,1703.560484,13662.42928
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FB,FB -- Energiezuführung,FB08,FB08 -- Energiezähler incl. Eichung,3762.787996,4901.466803,1877.429389,1365.707118,11907.39131
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FB,FB -- Energiezuführung,FB09,FB09 -- (Hoch)Stromwandler - Messstromwandler,5209.82398,4290.04161,1185.609584,1702.527944,12388.00312
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FB,FB -- Energiezuführung,FB10,FB10 -- Brems- und Entladewiderstände,4196.143584,4992.14659,1674.722193,1382.150958,12245.16333
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FB,FB -- Energiezuführung,FB11,FB11 -- Schnellschalter / Hauptschalter DC,5664.958716,4660.162761,1307.726519,1584.209188,13217.05718
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FC,FC -- Energieerzeugung,FC01,FC01 -- Energieerzeugung,5809.096095,3908.10051,1697.844002,1204.938886,12619.97949
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FD,FD -- Energieumsetzung,FD01,FD01 -- Fahrmotoren,5289.194844,5075.54791,1851.987789,1383.51122,13600.24176
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FD,FD -- Energieumsetzung,FD02,FD02 -- Bremswiderstand,5360.331863,3968.013714,1698.298617,1308.713591,12335.35778
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FD,FD -- Energieumsetzung,FD03,FD03 -- Getriebe,4468.229862,5246.808575,1370.658436,1849.872713,12935.56959
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FD,FD -- Energieumsetzung,FD04,FD04 -- Netzdrossel (evtl. integriert in Stromrichter),5119.013654,3681.955681,1324.695905,1686.734119,11812.39936
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FE,FE -- Energieabführung,FE01,FE01 -- Energieabführung,4992.208148,4710.742776,1391.679258,1856.32505,12950.95523
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FF,FF -- Energiespeicherung,FF01,FF01 -- Energiespeicherung,4866.789801,5065.206053,1478.012972,1986.416231,13396.42506
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FF,FF -- Energiespeicherung,FF02,FF02 -- Fahrbatterie / Traktionsbatterie ESS,4693.397051,5719.800889,1777.942903,1352.922644,13544.06349
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FF,FF -- Energiespeicherung,FF03,FF03 -- BTMS (Battery Thermal Management System),4488.498494,4991.187711,1339.010066,1755.309957,12574.00623
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FF,FF -- Energiespeicherung,FF04,FF04 -- Energiemesssystem,5216.395963,3651.069799,1918.690309,1435.45131,12221.60738
HFX (Bode),F,"F -- Energieanlage, Antriebsanlage",FF,FF -- Energiespeicherung,FF05,FF05 -- Batteriefilter,5376.170706,4138.552122,1339.998888,1974.411477,12829.13319
HFX (Bode),G,G -- Steuerungsanlage für Fahrbetrieb,GA,GA -- Steuerungsanlage für Fahrbetrieb,GA00,GA00 -- Steuerungsanlage für Fahrbetrieb (SW),4855.952105,4767.998612,1420.591859,1584.022356,12628.56493
HFX (Bode),G,G -- Steuerungsanlage für Fahrbetrieb,GA,GA -- Steuerungsanlage für Fahrbetrieb,GA01,GA01 -- Leittechnik,5436.724037,4585.164237,1501.373927,1685.047669,13208.30987
HFX (Bode),G,G -- Steuerungsanlage für Fahrbetrieb,GA,GA -- Steuerungsanlage für Fahrbetrieb,GA02,GA02 -- Ethernet Wagenbus,5263.896288,4853.861682,1170.976205,1698.203899,12986.93807
HFX (Bode),G,G -- Steuerungsanlage für Fahrbetrieb,GA,GA -- Steuerungsanlage für Fahrbetrieb,GA03,GA03 -- Zentraleinheit,4299.226993,5488.071695,1532.778841,1543.339034,12863.41656
HFX (Bode),G,G -- Steuerungsanlage für Fahrbetrieb,GB,GB -- Steuerung für Energiezuführung,GB01,GB01 -- Steuerung für Energiezuführung,4632.205952,3925.353558,1776.333682,1548.617592,11882.51078
HFX (Bode),G,G -- Steuerungsanlage für Fahrbetrieb,GC,GC -- Steuerung für Fahren und Bremsen,GC01,GC01 -- Steuerung für Fahren und Bremsen,4157.147599,4766.536757,1870.083284,1365.172484,12158.94012
